epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
1,0,val,0.0,-3527472.75,,,,,,0.0002
1,117,val,-32653.818150707808,-3609023.25,,,,,,0.0002
1,235,val,-24224.565055684845,-4966840.5,,,,,,0.0002
1,353,val,-20790.480950115103,-3892591.25,,,,,,0.0002
1,471,val,-18941.44823804077,-5809667.0,,,,,,0.0002
1,585,val,-17779.62844050484,-4870186.0,,,,,,0.0002
1,epoch_end,train,-17772.001536502805,,,,380.7076016732892,0.1443515568971634,10.715850282708242,0.0002
2,117,val,-12758.664079193377,-3881040.5,,,,,,0.0002
2,235,val,-12819.464394946812,-4959617.0,,,,,,0.0002
2,353,val,-12714.752276801531,-4599359.0,,,,,,0.0002
2,471,val,-12647.551523520437,-3524350.0,,,,,,0.0002
2,585,val,-12541.381431957809,-2325827.75,,,,,,0.0002
2,epoch_end,train,-12540.503467963425,,,,384.9973654984713,0.1752046048641204,11.512792760324224,0.0002
3,117,val,-11984.6192825187,-3764565.0,,,,,,0.0002
3,235,val,-11742.98100066489,-4162315.0,,,,,,0.0002
3,353,val,-11493.803041452724,-2824974.75,,,,,,0.0002
3,471,val,-11207.927473128975,-4791994.0,,,,,,0.0002
3,585,val,-10913.726561665328,-3972116.5,,,,,,0.0002
3,epoch_end,train,-10911.129492020847,,,,377.7308739905967,0.201851800084114,11.586439929043788,0.0002
4,117,val,-8980.992788461537,-3727944.0,,,,,,0.0002
4,235,val,-8569.773680601733,-2826012.5,,,,,,0.0002
4,353,val,-8268.751369400668,-3477387.0,,,,,,0.0002
4,471,val,-7945.93257053642,-2151473.5,,,,,,0.0002
4,585,val,-7641.663232839208,-2249939.25,,,,,,0.0002
4,epoch_end,train,-7639.514385132251,,,,371.643731121722,0.2390848398208618,11.416380899787576,0.0002
5,117,val,-5885.37638137687,-973127.875,,,,,,0.0002
5,235,val,-5606.734920420546,-1602644.125,,,,,,0.0002
5,353,val,-5341.907489376776,-1461136.5,,,,,,0.0002
5,471,val,-5114.200740093391,-1088335.25,,,,,,0.0002
5,585,val,-4907.428544421076,-1765391.25,,,,,,0.0002
5,epoch_end,train,-4904.390938299917,,,,373.2863893674386,0.2737982273101806,11.49057883267523,0.0002
6,117,val,-3633.90449302217,-1535472.125,,,,,,0.0002
6,235,val,-3543.2985486619013,-1025509.5,,,,,,0.0002
6,353,val,-3410.627267464699,-1223788.25,,,,,,0.0002
6,471,val,-3313.6024810078297,-1144944.0,,,,,,0.0002
6,585,val,-3213.0388335920816,-803112.5625,,,,,,0.0002
6,epoch_end,train,-3214.087675439621,,,,362.5906563069837,0.282783567905426,11.438740108164469,0.0002
7,117,val,-2617.631362262956,-978682.5,,,,,,0.0002
7,235,val,-2536.147665080619,-862038.25,,,,,,0.0002
7,353,val,-2446.7717762371635,-740878.6875,,,,,,0.0002
7,471,val,-2349.480213724124,-1102462.625,,,,,,0.0002
7,585,val,-2255.986940145901,-957341.5625,,,,,,0.0002
7,epoch_end,train,-2254.68008954045,,,,360.7334733318992,0.2778877317905426,11.35496454969658,0.0002
8,117,val,-1598.658757136419,-768016.8125,,,,,,0.0002
8,235,val,-1531.0578719768123,-725818.0,,,,,,0.0002
8,353,val,-1410.0060718309442,-765323.75,,,,,,0.0002
8,471,val,-1289.78278237442,-868380.625,,,,,,0.0002
8,585,val,-1174.406319205782,-904417.4375,,,,,,0.0002
8,epoch_end,train,-1174.298757019304,,,,359.01346640738336,0.3021345138549804,11.718510595086066,0.0002
9,117,val,-469.2425008920523,-691485.375,,,,,,0.0002
9,235,val,-272.6445510539603,-809655.375,,,,,,0.0002
9,353,val,-157.5092453564869,-727500.625,,,,,,0.0002
9,471,val,-45.91205067239756,-651804.9375,,,,,,0.0002
9,585,val,45.1106276552901,-373842.375,,,,,,0.0002
9,epoch_end,train,45.34144318876817,,,,354.9431820512259,0.2962717115879059,11.24243853339138,0.0002
10,117,val,526.7062008849579,-633011.4375,,,,,,0.0002
10,235,val,637.1273537980751,-592043.4375,,,,,,0.0002
10,353,val,737.9358042752103,-526755.1875,,,,,,0.0002
10,471,val,811.4065265291055,-796686.5625,,,,,,0.0002
10,585,val,895.9816682407996,-478669.5625,,,,,,0.0002
10,epoch_end,train,897.8260288368717,,,,345.83530180492346,0.3153079152107239,11.770963333333675,0.0002
11,117,val,1251.0967627631292,-842993.0,,,,,,0.0002
11,235,val,1349.5824547300952,-631659.0,,,,,,0.0002
11,353,val,1444.2532399639529,-620637.25,,,,,,0.0002
11,471,val,1487.424891704713,-599503.0625,,,,,,0.0002
11,585,val,1540.9731107271634,-553567.3125,,,,,,0.0002
11,epoch_end,train,1541.6232260225577,,,,346.3610914357836,0.3120712637901306,11.669711137207743,0.0002
12,117,val,1883.3602879190023,-676670.0625,,,,,,0.0002
12,235,val,1932.4496917075287,-502558.28125,,,,,,0.0002
12,353,val,1974.9146650708765,-542770.6875,,,,,,0.0002
12,471,val,2004.6647605814987,-854068.875,,,,,,0.0002
12,585,val,2047.1708952553247,-992467.875,,,,,,0.0002
12,epoch_end,train,2048.189099985585,,,,355.34677289330114,0.305201768875122,11.62207755231352,0.0002
13,117,val,2233.590904301048,-756946.9375,,,,,,0.0002
13,235,val,2255.101418353144,-362016.3125,,,,,,0.0002
13,353,val,2322.153614076612,-851867.5,,,,,,0.0002
13,471,val,2360.1964010250854,-435477.84375,,,,,,0.0002
13,585,val,2403.2270664312923,-377093.46875,,,,,,0.0002
13,epoch_end,train,2402.6069612991305,,,,357.3761795860239,0.2982122898101806,11.409227395226118,0.0002
14,117,val,2684.2251299996656,-492492.6875,,,,,,0.0002
14,235,val,2742.5549155377325,-979079.25,,,,,,0.0002
14,353,val,2791.3389266665185,-493276.875,,,,,,0.0002
14,471,val,2812.358466859078,-290667.46875,,,,,,0.0002
14,585,val,2813.810243890225,-788825.3125,,,,,,0.0002
14,epoch_end,train,2814.957869077299,,,,343.94334654251327,0.319220095872879,11.750420061057463,0.0002
15,117,val,3031.2235451722768,-466136.3125,,,,,,0.0002
15,235,val,3046.722059923539,-684501.25,,,,,,0.0002
15,353,val,3094.8018179831383,-607579.25,,,,,,0.0002
15,471,val,3136.593736004681,-877772.5625,,,,,,0.0002
15,585,val,3164.7165122529395,-336035.9375,,,,,,0.0002
15,epoch_end,train,3164.5671386718764,,,,340.23897671103526,0.3258548378944397,11.715016559395004,0.0002
16,117,val,3295.8342159955937,-690666.4375,,,,,,0.0002
16,235,val,3370.328976375498,-432144.3125,,,,,,0.0002
16,353,val,3418.497884690929,-191228.03125,,,,,,0.0002
16,471,val,3448.194505695576,-298708.9375,,,,,,0.0002
16,585,val,3472.281198250534,-581203.8125,,,,,,0.0002
16,epoch_end,train,3472.517429807487,,,,332.32631530865945,0.3233094811439514,11.792275986898144,0.0002
17,117,val,3684.81269823384,-474188.4375,,,,,,0.0002
17,235,val,3628.7281250000015,-188851.578125,,,,,,0.0002
17,353,val,3657.717707733932,-335394.9375,,,,,,0.0002
17,471,val,3676.574298315997,-479321.3125,,,,,,0.0002
17,585,val,3728.607692516357,-202929.125,,,,,,0.0002
17,epoch_end,train,3731.035463092267,,,,343.0036389693206,0.3486436009407043,12.31667432683787,0.0002
18,117,val,3922.310106587206,-393.8370361328125,,,,,,0.0002
18,235,val,3996.96893700133,1002.8145751953124,,,,,,0.0002
