epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,alpha,lr,grad_total,grad_model
1,0,val,0.0,-3527472.75,,,406.5375728138481,0.1051370501518249,7.356768421593749,,0.0002,,
1,117,val,-99124.2675447382,-18209.39453125,-17254.62109375,426.46044921875,416.6772538038836,0.0884390175342559,8.507812002738785,1.0,0.0002,16.202307095185684,16.202307095185684
1,235,val,-58098.05841921545,-16265.9169921875,-16634.62109375,364.82525634765625,416.0570202470413,0.1001692935824394,9.194722595735431,1.0,0.0002,11.567275456702705,11.567275456702705
1,353,val,-43745.76779114291,-14559.091796875,-13666.5498046875,407.2215270996094,417.1810631268816,0.1022574603557586,9.236059522650224,1.0,0.0002,18.13489133741094,18.13489133741094
1,471,val,-36378.443311687246,-13911.3818359375,-16188.8603515625,258.1585693359375,404.650159966322,0.114609956741333,9.283036431915196,1.0,0.0002,4.596385968809907,4.596385968809907
1,585,val,-31944.67438234509,-13332.048828125,-13022.94140625,259.7545166015625,403.2878398059624,0.1233631670475006,9.552238621736484,1.0,0.0002,4.435678808309413,4.435678808309413
1,epoch_end,train,-31912.81126346524,,-13032.5537109375,243.1621551513672,399.3503143912756,0.1204975843429565,9.702392804290934,1.0,0.0002,7.772723297602186,7.772723297602186
2,117,val,-13496.225285456729,-13494.9443359375,-13383.830078125,208.7679443359375,397.414671076138,0.1325501203536987,9.691907844716408,1.0,0.0002,3.148350204849764,3.148350204849764
2,235,val,-13433.206732047873,-13016.5849609375,-13058.068359375,182.8750915527344,390.6756053518582,0.1221682578325271,9.512350070401451,1.0,0.0002,3.349163053251229,3.349163053251229
2,353,val,-13336.795323012571,-12904.69921875,-12385.044921875,180.77603149414065,389.6087343551049,0.1304883062839508,9.785757741684188,1.0,0.0002,2.174014502883492,2.174014502883492
2,471,val,-13262.656697850322,-12463.8935546875,-12243.74609375,163.52464294433594,389.8084726998805,0.1294574588537216,9.705864646741157,1.0,0.0002,3.778726561596528,3.778726561596528
2,585,val,-13191.849898170412,-13011.4404296875,-12533.8193359375,154.68359375,390.4972696856644,0.125242531299591,9.821072550270824,1.0,0.0002,3.791075388626156,3.791075388626156
2,epoch_end,train,-13188.532689846425,,-11087.376953125,158.05206298828125,381.1016315901487,0.135346382856369,9.66193504243322,1.0,0.0002,3.26473367993477,3.26473367993477
3,117,val,-12957.728874532577,-12965.875,-11796.349609375,148.2847900390625,394.9703289753275,0.1224823147058487,9.69294750061373,1.0,0.0002,4.694528081481973,4.694528081481973
3,235,val,-12844.372215757978,-12535.802734375,-12672.04296875,144.305908203125,394.3924256313727,0.1295641511678695,9.811289869533445,1.0,0.0002,2.755588811869873,2.755588811869873
3,353,val,-12819.696491014518,-12242.48046875,-13401.0205078125,138.64132690429688,395.6673195172315,0.1283310055732727,9.759702928029924,1.0,0.0002,4.111494996346209,4.111494996346209
3,471,val,-12805.518258194006,-12342.0703125,-12620.189453125,120.10057067871094,382.04655713469725,0.1302331089973449,9.948626026703366,1.0,0.0002,4.5999668587846,4.5999668587846
3,585,val,-12792.45445880074,-12065.8251953125,-12737.3603515625,112.43173217773438,387.4442841523368,0.1244949176907539,9.836022864249856,1.0,0.0002,5.148890035936053,5.148890035936053
3,epoch_end,train,-12790.217003519616,,-11363.6083984375,125.1231689453125,391.8578740634508,0.130055770277977,9.914727809932431,1.0,0.0002,9.390233893046192,9.390233893046192
