epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
1,0,val,0.0,-3527472.75,,,,,,0.0002
1,117,val,-888896489225.0249,-33226.33984375,,,,,,0.0002
1,235,val,-442689675012.6973,-32433.87109375,,,,,,0.0002
1,353,val,-294772215642.06213,-29843.1484375,,,,,,0.0002
1,471,val,-220960651685.77484,-29252.12109375,,,,,,0.0002
1,585,val,-177926405881.2444,-28952.228515625,,,,,,0.0002
1,epoch_end,train,-177622999649.0102,,,,417.4051488555184,0.0949291884899139,7.28961662360541,0.0002
2,117,val,-111240408.6837607,-28949.482421875,,,,,,0.0002
2,235,val,-104044576.2042553,-28254.23046875,,,,,,0.0002
2,353,val,-98638039.5467422,-28826.751953125,,,,,,0.0002
2,471,val,-94022514.91295114,-27689.412109375,,,,,,0.0002
2,585,val,-89953748.06837605,-27598.3046875,,,,,,0.0002
2,epoch_end,train,-89923008.68941978,,,,416.9936294726848,0.092980295419693,7.498986522107538,0.0002
3,117,val,-67852384.64957261,-28243.61328125,,,,,,0.0002
3,235,val,-65431723.45531914,-27455.17578125,,,,,,0.0002
3,353,val,-63425777.4617564,-27664.9296875,,,,,,0.0002
3,471,val,-61670447.73673038,-28621.578125,,,,,,0.0002
3,585,val,-59834395.774358965,-28291.912109375,,,,,,0.0002
3,epoch_end,train,-59820860.921501696,,,,408.80699433468953,0.0934844315052032,7.361208857707843,0.0002
4,117,val,-49775861.84615385,-27261.0,,,,,,0.0002
4,235,val,-48476664.62978725,-26636.28515625,,,,,,0.0002
4,353,val,-47197540.81586402,-26884.33203125,,,,,,0.0002
4,471,val,-46106440.64543528,-26217.111328125,,,,,,0.0002
4,585,val,-45002708.67008552,-26713.26171875,,,,,,0.0002
4,epoch_end,train,-44990775.01023896,,,,405.7062172677274,0.0934273302555084,7.465564014605394,0.0002
5,117,val,-38761833.77777776,-26277.37890625,,,,,,0.0002
5,235,val,-37979799.846808486,-25341.107421875,,,,,,0.0002
5,353,val,-37096198.80453255,-26537.65234375,,,,,,0.0002
5,471,val,-36311913.30360933,-26204.37890625,,,,,,0.0002
5,585,val,-35503800.91282052,-25794.642578125,,,,,,0.0002
5,epoch_end,train,-35500658.713310584,,,,418.3327094676776,0.0905788913369178,7.402358704260187,0.0002
6,117,val,-31213573.77777778,-26685.529296875,,,,,,0.0002
6,235,val,-30453581.812765952,-26446.70703125,,,,,,0.0002
6,353,val,-29825121.73371105,-26809.19921875,,,,,,0.0002
6,471,val,-29201515.66878981,-25927.857421875,,,,,,0.0002
6,585,val,-28685996.276923075,-26009.228515625,,,,,,0.0002
6,epoch_end,train,-28679732.06484641,,,,419.1638312776759,0.0918512791395187,7.390564928562993,0.0002
7,117,val,-25408726.73504273,-26605.91796875,,,,,,0.0002
7,235,val,-25022087.940425523,-27057.412109375,,,,,,0.0002
7,353,val,-24496945.365439087,-25956.994140625,,,,,,0.0002
7,471,val,-23978815.316348176,-25866.6015625,,,,,,0.0002
7,585,val,-23495723.815384604,-26356.607421875,,,,,,0.0002
7,epoch_end,train,-23492156.102389067,,,,409.2857794913685,0.0902558416128158,7.465992748268144,0.0002
8,117,val,-20829500.05128205,-26451.8046875,,,,,,0.0002
8,235,val,-20463023.87234044,-25965.677734375,,,,,,0.0002
8,353,val,-20059192.997167148,-26315.20703125,,,,,,0.0002
