epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,alpha,lpips_loss,adv_loss,contrastive_loss,lr,pc_cosine_lpips_adv,pc_cosine_lpips_con,pc_cosine_adv_con,grad_total,grad_model
0.0,-3630859.0,,,,,,,,,,,,,0.0002,,,,,
-63117.25698939738,-16194.513671875,,,,,,,,,,,,,0.0002,,,,,
-39265.432956560326,-14938.01953125,,,,,,,,,,,,,0.0002,,,,,
-31010.348047796328,-12744.00390625,,,,,,,,,,,,,0.0002,,,,,
-26122.547285639397,-10592.1162109375,,,,,,,,,,,,,0.0002,,,,,
-22992.799698962808,-9246.189453125,,,,,,,,,,,,,0.0002,,,,,
-22950.992484352828,,,,329.7364831017388,0.375946044921875,14.029330159401017,0.949508786201477,0.206787109375,2.1617908477783203,3.6288986206054688,0.0002,-0.1117323553621525,-0.1903711726436637,0.1788052031645249,0.9999994039535522,0.9999994039535522,,,
-8691.97413504464,-8191.50439453125,,,,,,,,,,,,,0.0002,,,,,
-8119.222960992907,-7125.8623046875,,,,,,,,,,,,,0.0002,,,,,
-7946.6059109669795,-6565.87939453125,,,,,,,,,,,,,0.0002,,,,,
-7720.45519545053,-7035.5048828125,,,,,,,,,,,,,0.0002,,,,,
-7549.666285501245,-6597.0498046875,,,,,,,,,,,,,0.0002,,,,,
-7545.943567449394,,,,275.0339237727768,0.3979490399360657,13.944790975828962,0.9156250953674316,0.184814453125,3.3370625972747803,3.626869201660156,0.0002,-0.8174416538662402,0.09836468448892,-0.0332697677230554,0.9999997615814208,0.9999997615814208,,,
-6504.78152204241,-6557.458984375,,,,,,,,,,,,,0.0002,,,,,
-6259.483384585548,-5673.171875,,,,,,,,,,,,,0.0002,,,,,
-6231.752522018719,-5348.3134765625,,,,,,,,,,,,,0.0002,,,,,
-6198.496276639799,-7521.9716796875,,,,,,,,,,,,,0.0002,,,,,
-6130.849942546967,-5453.73681640625,,,,,,,,,,,,,0.0002,,,,,
-6131.489343123006,,,,271.66631170075647,0.4224589467048645,14.913975336197616,0.881843090057373,0.18017578125,2.283217668533325,3.6305999755859375,0.0002,-1.1622752067840254,-0.054396569461928,-0.2525024994599802,0.9999995827674866,0.9999995827674866,,,
-6846.494935825891,-5480.05859375,,,,,,,,,,,,,0.0002,,,,,
-6255.727639489136,-5533.6875,,,,,,,,,,,,,0.0002,,,,,
-6180.3309084334405,-5176.3037109375,,,,,,,,,,,,,0.0002,,,,,
-5910.055164566306,-4777.96923828125,,,,,,,,,,,,,0.0002,,,,,
-5640.600677751066,-3942.1416015625,,,,,,,,,,,,,0.0002,,,,,
-5635.684661865232,,,,235.0163287605404,0.4223745465278625,14.72143283273602,0.8550760746002197,0.168212890625,2.851668357849121,3.632850646972656,0.0002,-0.3705109438010355,-0.1006202061163153,0.0376968648394861,0.9999997615814208,0.9999997615814208,,,
-5381.904736328126,-5417.82421875,,,,,,,,,,,,,0.0002,,,,,
-5483.415807845746,-5749.87109375,,,,,,,,,,,,,0.0002,,,,,
-5342.814717994545,-4554.5361328125,,,,,,,,,,,,,0.0002,,,,,
-5185.975751573539,-4155.9326171875,,,,,,,,,,,,,0.0002,,,,,
-4959.440914490961,-3789.634765625,,,,,,,,,,,,,0.0002,,,,,
-4956.376416986637,,,,215.62038176932165,0.4810492992401123,15.082488844312987,0.8248793482780457,0.1947021484375,3.3332300186157227,3.6396484375,0.0002,0.6929386495524767,-0.1221572429321549,-0.0478159235132261,0.999999701976776,0.999999701976776,,,
-4078.449096679687,-4068.39794921875,,,,,,,,,,,,,0.0002,,,,,
-3988.045598889074,-3685.97314453125,,,,,,,,,,,,,0.0002,,,,,
-3813.0439487673207,-3797.408203125,,,,,,,,,,,,,0.0002,,,,,
-3823.137684097561,-3565.8623046875,,,,,,,,,,,,,0.0002,,,,,
-3730.662912048168,-2790.0439453125,,,,,,,,,,,,,0.0002,,,,,
-3726.1038485440367,,,,237.6250553133876,0.4376407861709595,15.017494238883998,0.7945437431335449,0.1763916015625,1.901839256286621,3.6383285522460938,0.0002,0.1870679144547021,-0.0520816690804364,-0.1323486672677186,0.9999995231628418,0.9999995231628418,,,
-3256.8530639648434,-3859.0712890625,,,,,,,,,,,,,0.0002,,,,,
-3561.9174830659917,-3047.047607421875,,,,,,,,,,,,,0.0002,,,,,
-3395.2091254468223,-3626.08154296875,,,,,,,,,,,,,0.0002,,,,,
-3251.578957924994,-2718.294677734375,,,,,,,,,,,,,0.0002,,,,,
-3192.2400371844933,-2498.28076171875,,,,,,,,,,,,,0.0002,,,,,
-3191.2678739374314,,,,268.78808434278847,0.4475739002227783,14.828433044289234,0.7594910860061646,0.181396484375,2.2346346378326416,3.634620666503906,0.0002,1.096637105180133,0.1011620457691274,0.1580080744354688,0.999999701976776,0.999999701976776,,,
-2509.826422991071,-2188.6357421875,,,,,,,,,,,,,0.0002,,,,,
-2382.174472673565,-2289.232666015625,,,,,,,,,,,,,0.0002,,,,,
-2495.8366512082653,-2471.171142578125,,,,,,,,,,,,,0.0002,,,,,
-2448.93183839616,-2276.2080078125,,,,,,,,,,,,,0.0002,,,,,
-2453.3480080281206,-2292.94775390625,,,,,,,,,,,,,0.0002,,,,,
-2455.2194212133213,,,,230.7468764441596,0.3965751528739929,13.530641023556033,0.7331156730651855,0.1922607421875,1.980331540107727,3.629470825195313,0.0002,-0.275927765631108,0.0887228755821206,-0.0116403243958341,0.999999701976776,0.999999701976776,,,
-2132.3276070731026,-2486.472412109375,,,,,,,,,,,,,0.0002,,,,,
-2286.9367061100943,-2255.824951171875,,,,,,,,,,,,,0.0002,,,,,
-2201.5210340967724,-1951.966064453125,,,,,,,,,,,,,0.0002,,,,,
-2144.121775273301,-2046.515869140625,,,,,,,,,,,,,0.0002,,,,,
-2082.731071102655,-1568.686279296875,,,,,,,,,,,,,0.0002,,,,,
-2080.113022544169,,,,244.0951295855595,0.4245975315570831,13.876395441309866,0.7017871141433716,0.1719970703125,2.624332904815674,3.639205932617188,0.0002,0.5667301762417211,-0.1694777746542212,0.0920706874189511,0.9999996423721312,0.9999996423721312,,,
-1654.206950160435,-1870.1229248046875,,,,,,,,,,,,,0.0002,,,,,
-1558.670538286791,-1750.112060546875,,,,,,,,,,,,,0.0002,,,,,
-1523.538446534355,-1565.0126953125,,,,,,,,,,,,,0.0002,,,,,
-1532.29628783317,-1491.405517578125,,,,,,,,,,,,,0.0002,,,,,
-1512.2278654093077,-1495.99658203125,,,,,,,,,,,,,0.0002,,,,,
-1511.0856373093343,,,,208.70273869899023,0.4629753232002258,14.637535085456063,0.6713017225265503,0.181396484375,3.050964832305908,3.629837036132813,0.0002,-1.601191663752974,0.1200388214319129,0.0259751253735229,0.9999996423721312,0.9999996423721312,,,
-1995.4233481270928,-2455.898681640625,,,,,,,,,,,,,0.0002,,,,,
-1858.871505196213,-1664.4423828125,,,,,,,,,,,,,0.0002,,,,,
-1661.088663641012,-1402.8262939453125,,,,,,,,,,,,,0.0002,,,,,
-1716.6915312318836,-1331.8060302734375,,,,,,,,,,,,,0.0002,,,,,
-1781.761883510144,-2390.823974609375,,,,,,,,,,,,,0.0002,,,,,
-1782.133594079451,,,,196.51093207154392,0.476807177066803,15.043739244559593,0.6424263119697571,0.1514892578125,2.85978102684021,3.648384094238281,0.0002,-0.0842376850374908,0.0714341476998492,-0.2724158962545666,0.999999463558197,0.999999463558197,,,
-1714.548184640067,-1808.126708984375,,,,,,,,,,,,,0.0002,,,,,
-1644.4520579669484,-1791.8814697265625,,,,,,,,,,,,,0.0002,,,,,
-1561.2179769839877,-1608.3304443359375,,,,,,,,,,,,,0.0002,,,,,
-1559.167351065592,-1453.865234375,,,,,,,,,,,,,0.0002,,,,,
-1482.3062628504224,-1670.36474609375,,,,,,,,,,,,,0.0002,,,,,
-1480.4011874632408,,,,187.28723194662604,0.4657454490661621,15.43378761517284,0.6200059056282043,0.1612548828125,4.0633544921875,3.650360107421875,0.0002,1.0279235253673222,0.0820929018357953,0.0943615737574955,0.9999998807907104,0.9999998807907104,,,
-1401.2765119280134,-1343.5009765625,,,,,,,,,,,,,0.0002,,,,,
-1172.5711647196017,-1051.807373046875,,,,,,,,,,,,,0.0002,,,,,
-1140.490686524589,-1314.014404296875,,,,,,,,,,,,,0.0002,,,,,
-1168.4810923653868,-1249.1512451171875,,,,,,,,,,,,,0.0002,,,,,
-1185.877127188224,-1535.0865478515625,,,,,,,,,,,,,0.0002,,,,,
-1187.1692073128447,,,,180.9018831484049,0.4738495945930481,15.0759170630756,0.5930843949317932,0.163330078125,2.6404216289520264,3.638755798339844,0.0002,0.3572117363177797,-0.0372916674270103,-0.0021849384846194,0.9999995827674866,0.9999995827674866,,,
-867.5717630658834,-992.8363037109376,,,,,,,,,,,,,0.0002,,,,,
-860.0965842930138,-1500.404541015625,,,,,,,,,,,,,0.0002,,,,,
-983.182804863408,-1129.9052734375,,,,,,,,,,,,,0.0002,,,,,
-1038.37404991123,-547.504150390625,,,,,,,,,,,,,0.0002,,,,,
-979.5385382019224,-536.077392578125,,,,,,,,,,,,,0.0002,,,,,
-977.4898350238806,,,,179.85273111653777,0.5053874254226685,15.461820907873316,0.5696213245391846,0.1519775390625,1.7327231168746948,3.636917114257813,0.0002,0.1691811779302149,0.0360408485043123,-0.0744316318281342,0.9999996423721312,0.9999996423721312,,,
-1017.7884918212887,-1885.320556640625,,,,,,,,,,,,,0.0002,,,,,
-909.0975428371564,-1260.4117431640625,,,,,,,,,,,,,0.0002,,,,,
-824.7732345293156,-1184.6298828125,,,,,,,,,,,,,0.0002,,,,,
