Epoch,Validation IWAE,Train VLB,Reconstruction Error,KL Term,Alpha
1,-3630859.0,0.0,-23645.395946557972,112026.25530386662,0.9988486067108486
2,-18427.578125,-134372.1708705357,-17158.715013586956,506.2526178774626,0.9985969749049864
3,-16618.90625,-75571.32008394283,-17021.013318048008,377.1219407233639,0.9985856793928838
4,-17020.18359375,-56090.68386092275,-17247.783019134964,365.79118369282156,0.9985735312752102
5,-17524.54296875,-46471.77805805545,-16556.862502830616,377.9703961800838,0.9985595466434092
6,-15481.6484375,-40703.3191050125,-15244.268498075182,397.6601659802423,0.9985430180162623
7,-14986.96875,-15574.859960937501,-14824.281066009964,428.1933301842731,0.9985232189081718
8,-15734.294921875,-15461.361064937946,-15107.56057518116,450.9299139492754,0.998499862525774
9,-14964.447265625,-15464.2618385171,-14478.271173007246,471.9777663963429,0.9984730067460433
10,-14739.869140625,-15339.465544252427,-14487.044313292572,489.2060772439708,0.9984428312467493
11,-13922.71875,-15221.271395343663,-13651.970802196558,503.8384204809216,0.9984093178873477
12,-14044.55078125,-14146.626032366068,-14207.519941689312,511.6992603246716,0.9983727128609367
13,-15031.6142578125,-14481.2577847961,-15361.84768455616,518.2494268002717,0.9983334377192069
14,-16045.373046875,-15039.616174086079,-14713.037958559782,526.8586116182631,0.9982907832532689
15,-14363.1591796875,-15049.307020207594,-14412.094415194746,534.8896648019984,0.9982450509416885
16,-15823.7041015625,-15049.816155849361,-14920.64601732337,538.4690967504529,0.9981961233028467
17,-14745.36328125,-15288.39107142857,-14287.870386096014,540.2050913935122,0.9981444080670675
18,-14375.9150390625,-14943.02020306959,-14385.552974977356,550.713916723279,0.9980893903884335
19,-13801.5244140625,-14993.499548570167,-14556.337593410326,546.3169732577559,0.9980309873387434
20,-13614.794921875,-14936.274921322878,-13780.028192934782,550.683547752491,0.9979699012162029
21,-14381.537109375,-14916.02952780003,-14213.422172214674,555.664137688236,0.9979051351547241
22,-13485.953125,-14582.92064732143,-14226.366833673008,561.791845349298,0.9978370856547701
23,-14557.2880859375,-14847.442403590425,-14136.510883718298,566.3153040789176,0.9977650184562241
24,-14444.96875,-14539.792323850237,-13325.426460597826,570.1312291242074,0.9976893931195356
25,-13390.591796875,-14367.585927147747,-13115.027782495472,572.2479946855186,0.9976100558819978
26,-14361.787109375,-14304.215174835294,-13518.827530570652,578.5312411543251,0.9975267415461333
