epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
1,0,val,0.0,-3527472.75,,,,,,0.0002
1,117,val,-435137.9942574787,-17989.564453125,,,,,,0.0002
1,235,val,-224988.48975648283,-15375.8486328125,,,,,,0.0002
1,353,val,-154624.87519641905,-13807.8056640625,,,,,,0.0002
1,471,val,-119375.37131560182,-13641.2998046875,,,,,,0.0002
1,585,val,-98721.9829594017,-13292.228515625,,,,,,0.0002
1,epoch_end,train,-98576.9520117854,,,,383.3311543933976,0.1327840089797973,10.598790845231392,0.0002
2,117,val,-13116.634523571038,-13111.6943359375,,,,,,0.0002
2,235,val,-13170.691497672877,-12744.2294921875,,,,,,0.0002
2,353,val,-13070.051658219722,-13171.7216796875,,,,,,0.0002
2,471,val,-13022.007088889992,-12467.2451171875,,,,,,0.0002
2,585,val,-12947.68508279914,-12491.603515625,,,,,,0.0002
2,epoch_end,train,-12947.30562739974,,,,390.03332678894816,0.1667592227458953,11.462486537818847,0.0002
3,117,val,-12682.317699986646,-12607.0634765625,,,,,,0.0002
3,235,val,-12556.048616190155,-12176.0439453125,,,,,,0.0002
3,353,val,-12486.043159636156,-12034.552734375,,,,,,0.0002
3,471,val,-12397.03043308785,-12609.7158203125,,,,,,0.0002
3,585,val,-12313.222611177884,-11665.8994140625,,,,,,0.0002
3,epoch_end,train,-12312.990159382998,,,,379.6697818512857,0.1804237961769104,12.060421706901726,0.0002
4,117,val,-11684.804679153312,-11377.8984375,,,,,,0.0002
4,235,val,-11447.784420711432,-10682.9677734375,,,,,,0.0002
4,353,val,-11290.774939691037,-10407.8974609375,,,,,,0.0002
4,471,val,-11065.711420597796,-9796.19921875,,,,,,0.0002
4,585,val,-10854.58768696581,-9366.7939453125,,,,,,0.0002
4,epoch_end,train,-10852.45676627826,,,,370.8541910211978,0.2051815688610077,12.053339896946458,0.0002
5,117,val,-9470.491348657852,-8408.044921875,,,,,,0.0002
5,235,val,-9251.89735704787,-7678.06298828125,,,,,,0.0002
5,353,val,-9009.338988912006,-7758.9755859375,,,,,,0.0002
5,471,val,-8805.820066804343,-7262.56494140625,,,,,,0.0002
5,585,val,-8584.788996561163,-6432.0966796875,,,,,,0.0002
5,epoch_end,train,-8581.809178687605,,,,362.137105522751,0.2244763374328613,11.812111993883178,0.0002
6,117,val,-7168.707469451124,-6310.11181640625,,,,,,0.0002
6,235,val,-7062.408857629652,-5976.41064453125,,,,,,0.0002
6,353,val,-6863.950115084986,-5517.15771484375,,,,,,0.0002
6,471,val,-6685.008615935176,-5349.0498046875,,,,,,0.0002
6,585,val,-6542.067027243588,-5235.916015625,,,,,,0.0002
6,epoch_end,train,-6541.995733788394,,,,355.7189875389106,0.2400582879781723,12.03590609095074,0.0002
7,117,val,-5628.205499632746,-4649.27392578125,,,,,,0.0002
7,235,val,-5452.453021110373,-4471.068359375,,,,,,0.0002
7,353,val,-5259.790332307896,-4124.02734375,,,,,,0.0002
7,471,val,-5069.496997225815,-3880.89111328125,,,,,,0.0002
7,585,val,-4914.481574686164,-3842.62451171875,,,,,,0.0002
7,epoch_end,train,-4912.957504116227,,,,344.3190890967418,0.2522948980331421,11.942871827888,0.0002
8,117,val,-3974.8072248931608,-3280.767822265625,,,,,,0.0002
8,235,val,-3935.449826504322,-3091.49072265625,,,,,,0.0002
8,353,val,-3816.768417747432,-3188.511474609375,,,,,,0.0002
8,471,val,-3693.6821672637993,-2835.3759765625,,,,,,0.0002
8,585,val,-3601.3635264339623,-2588.80029296875,,,,,,0.0002
8,epoch_end,train,-3601.8452596306406,,,,344.69597232093827,0.2689279019832611,12.061850725851755,0.0002
9,117,val,-3120.825562566772,-2305.516845703125,,,,,,0.0002
9,235,val,-2961.5309497589733,-2431.413818359375,,,,,,0.0002
