Checkpoint,IWAE
1,-3527472.75
2,-16597.6484375
3,-14358.6494140625
4,-13065.54296875
5,-13154.2998046875
6,-12940.9306640625
7,-12737.2431640625
8,-12389.310546875
9,-12583.8388671875
10,-11630.6669921875
11,-11392.4306640625
12,-11036.7080078125
13,-10121.31640625
14,-9559.58203125
15,-9369.21875
16,-8299.8125
17,-7949.7431640625
18,-7304.697265625
19,-6959.35400390625
20,-6622.2724609375
21,-6327.36376953125
22,-5650.72265625
23,-5273.677734375
24,-5459.97216796875
25,-5228.84130859375
26,-4580.79443359375
27,-4369.28369140625
28,-4010.468017578125
29,-3708.597412109375
30,-3538.155029296875
31,-3390.98046875
32,-2942.814453125
33,-3250.90771484375
34,-2877.531005859375
35,-2908.6865234375
36,-2781.65478515625
37,-2377.33935546875
38,-2332.170654296875
39,-2483.297607421875
40,-2277.848876953125
41,-1993.3912353515625
42,-1612.2227783203125
43,-1587.6231689453125
44,-1487.5687255859375
45,-1241.16748046875
46,-880.305419921875
47,-522.9822998046875
48,-655.6307373046875
49,-499.64727783203125
50,-537.5286254882812
51,-88.41059875488281
52,100.59526824951172
53,119.80248260498047
54,248.99766540527344
55,68.99832153320312
56,408.3194274902344
57,374.5162658691406
58,730.3526000976562
59,548.9072265625
60,719.5468139648438
61,782.72802734375
62,1100.5634765625
63,807.8355102539062
64,1153.12060546875
65,1439.671142578125
66,1188.859375
67,1507.9552001953125
68,1352.4249267578125
69,1758.9476318359375
70,2065.318359375
71,1724.899169921875
72,1918.0162353515625
73,2242.025146484375
74,1864.455322265625
75,2054.12646484375
76,2179.94921875
77,2365.171630859375
78,2675.73046875
79,2361.696044921875
80,2501.498046875
81,2647.822021484375
82,2570.53369140625
83,2719.943115234375
84,2310.27783203125
85,2976.135009765625
86,2931.38916015625
87,3127.458251953125
88,3191.46533203125
89,2899.631103515625
90,3103.0947265625
91,3197.217041015625
92,3178.59130859375
93,3366.4404296875
94,3409.886962890625
95,3617.976318359375
96,3321.271728515625
97,3533.5341796875
98,3248.350830078125
99,3446.5146484375
100,3589.3447265625
101,3838.7431640625
102,3643.625
103,3675.22900390625
104,3744.89208984375
105,3901.919677734375
106,4103.00390625
107,4398.62744140625
108,3721.396240234375
109,3961.822021484375
110,4015.53369140625
111,4192.8994140625
112,4347.66259765625
113,4364.39501953125
114,4233.8505859375
115,4421.56884765625
116,4081.93359375
117,4259.3837890625
118,4492.2822265625
119,3811.95751953125
120,4656.92724609375
121,4498.08837890625
122,4662.35205078125
123,5000.716796875
124,4346.8681640625
125,4710.7578125
126,4751.4228515625
