Batch Range,KL (avg)
1-100,27290.716161499022
101-200,419.0375323486328
201-300,341.94877471923826
301-400,299.6121971130371
401-500,267.2519972229004
501-600,244.84211532592772
601-700,227.89763946533202
701-800,208.5262660217285
801-900,192.9640447998047
901-1000,181.5276789855957
1001-1100,172.86932403564452
1101-1200,160.29096282958983
1201-1300,153.20087593078614
1301-1400,144.05390029907227
1401-1500,136.5610772705078
1501-1600,129.45289375305177
1601-1700,124.7143278503418
1701-1800,117.05161140441895
1801-1900,111.9781283569336
1901-2000,107.60930519104004
2001-2100,102.03302947998047
2101-2200,98.62999725341797
2201-2300,96.16121215820313
2301-2400,91.85766426086425
2401-2500,88.21294486999511
2501-2600,84.7156226348877
2601-2700,82.5389566040039
2701-2800,79.31337272644043
2801-2900,77.10614616394042
2901-3000,75.6580931854248
3001-3100,76.66663429260254
3101-3200,77.85975830078125
3201-3300,79.74681198120118
3301-3400,82.38728317260743
3401-3500,83.61163627624512
3501-3600,82.22817199707032
3601-3700,82.63825134277344
3701-3800,81.71076866149902
3801-3900,80.24125968933106
3901-4000,80.43046203613281
4001-4100,81.55107566833496
4101-4200,82.04845458984374
4201-4300,82.74443000793457
4301-4400,84.13980545043945
4401-4500,85.50793586730957
4501-4600,89.33151924133301
4601-4700,94.01251670837402
4701-4800,100.64687110900879
4801-4900,103.4455931854248
4901-5000,105.21530830383301
5001-5100,104.72603981018067
5101-5200,104.93076278686523
5201-5300,104.85976501464843
5301-5400,102.76323280334472
5401-5500,102.4386279296875
5501-5600,101.68983238220216
5601-5700,100.06733154296874
5701-5800,98.9041961669922
5801-5900,96.78583984375
5901-6000,94.67490280151367
6001-6100,93.99095100402832
6101-6200,92.8935855102539
6201-6300,92.85541984558105
6301-6400,91.54215324401855
6401-6500,91.28363876342773
6501-6600,90.7444603729248
6601-6700,91.68824935913086
6701-6800,92.32966934204102
6801-6900,91.24514953613281
6901-7000,91.60624984741212
7001-7100,91.07626976013184
7101-7200,90.40403785705567
7201-7300,90.64801284790039
7301-7400,90.7379988861084
7401-7500,91.7591323852539
7501-7600,90.97535758972168
7601-7700,90.08134269714355
7701-7800,87.51677001953125
7801-7900,88.07153053283692
7901-8000,85.88774101257324
8001-8100,84.72393447875976
8101-8200,84.73506637573242
8201-8300,85.75247932434083
8301-8400,87.46316864013671
8401-8500,86.76942359924317
8501-8600,86.54247886657714
8601-8700,84.53380294799804
8701-8800,84.22199249267578
8801-8900,82.95287376403809
8901-9000,83.73097885131835
9001-9100,82.39310455322266
9101-9200,81.56906311035156
9201-9300,81.01761108398438
9301-9400,82.29101745605469
9401-9500,83.74295219421387
9501-9600,82.66928337097168
9601-9700,82.6185439300537
9701-9800,82.03521812438964
9801-9900,82.3449365234375
9901-10000,84.04306144714356
10001-10100,86.91644027709961
10101-10200,84.87799797058105
10201-10300,85.19354804992676
10301-10400,85.46680564880371
10401-10500,85.52649154663087
10501-10600,86.53319290161133
10601-10700,87.03051040649414
10701-10800,87.6936491394043
10801-10900,87.16556953430175
10901-11000,87.79260459899902
11001-11100,87.9660163116455
11101-11200,88.71386512756348
11201-11300,86.86524864196777
11301-11400,86.68502601623535
11401-11500,87.56935203552246
11501-11600,86.16041870117188
11601-11700,85.33344413757324
11701-11800,86.32899635314942
11801-11900,84.53064094543457
11901-12000,84.11046875
12001-12100,84.21620292663575
12101-12200,85.27903526306153
12201-12300,87.67255393981934
12301-12400,88.8286173248291
12401-12500,89.53409210205078
12501-12600,89.29394691467286
12601-12700,90.75142448425294
12701-12800,89.88857482910156
12801-12900,91.6211540222168
12901-13000,91.96315826416016
13001-13100,91.63425148010253
13101-13200,91.9056771850586
13201-13300,92.21207321166992
13301-13400,91.02203727722168
13401-13500,90.80437919616699
13501-13600,89.15283195495606
13601-13700,89.59738555908203
13701-13800,90.26322639465332
13801-13900,89.77088851928711
13901-14000,89.67313285827636
14001-14100,88.82649436950683
14101-14200,89.6611557006836
14201-14300,89.62308235168457
14301-14400,89.99575759887695
14401-14500,90.00983772277831
14501-14600,90.91880210876465
14601-14650,93.49148361206055
